Trip_ID,Customer_ID,Driver_ID,Request_Time,Pickup_Time,Drop_Time,Pickup_Location,Drop_Location,Distance_km,Fare,Trip_Status
100016,4171,720,2024-01-01 16:00:00,2024-01-01 16:20:00,2024-01-01 16:59:00,Banani,Gulshan,7.94,187.79537282583732,Completed
100017,3919,662,2024-01-01 17:00:00,2024-01-01 17:06:00,2024-01-01 17:11:00,Banani,Dhanmondi,14.03,291.582331559321,Completed
100018,4735,239,2024-01-01 18:00:00,,2024-01-01 18:49:00,Banani,Mirpur,13.46,458.82935309296664,Completed
100019,1130,736,2024-01-01 19:00:00,2024-01-01 19:08:00,2024-01-01 19:37:00,Uttara,Uttara,12.0,273.6058172778911,Completed
100020,2685,460,2024-01-01 20:00:00,2024-01-01 20:15:00,2024-01-01 21:04:00,Mirpur,Dhanmondi,5.15,118.32645633423161,Completed
100021,4380,594,2024-01-01 21:00:00,2024-01-01 21:24:00,2024-01-01 22:17:00,Uttara,Uttara,8.63,233.75998957014355,Completed
100022,1769,425,2024-01-01 22:00:00,2024-01-01 22:04:00,2024-01-01 22:51:00,Dhanmondi,Gulshan,4.13,113.05544671285848,Completed
100023,3391,323,2024-01-01 23:00:00,2024-01-01 23:19:00,2024-01-01 23:57:00,Gulshan,Uttara,7.21,146.19365977913523,Completed
100024,2515,237,2024-01-02 00:00:00,2024-01-02 00:17:00,2024-01-02 00:46:00,Mirpur,Dhanmondi,7.78,172.8663180149224,Completed
100025,4485,527,2024-01-02 01:00:00,2024-01-02 01:24:00,2024-01-02 01:44:00,Dhanmondi,Mirpur,12.64,324.4981535991167,Completed
100026,3853,450,2024-01-02 02:00:00,2024-01-02 02:20:00,2024-01-02 02:58:00,Uttara,Banani,13.54,409.6657038519905,Completed
100027,3433,375,2024-01-02 03:00:00,2024-01-02 03:20:00,2024-01-02 03:53:00,Gulshan,Uttara,6.8,159.29868259685745,Completed
100028,2215,653,2024-01-02 04:00:00,2024-01-02 04:19:00,2024-01-02 04:42:00,Dhanmondi,Banani,1.25,32.93152086703305,Completed
100029,1955,236,2024-01-02 05:00:00,2024-01-02 05:21:00,2024-01-02 05:48:00,Gulshan,Uttara,13.06,370.38389817795587,Completed
100030,3324,515,2024-01-02 06:00:00,2024-01-02 06:17:00,2024-01-02 06:40:00,Dhanmondi,Uttara,3.44,114.65137272256186,Completed
100031,2184,792,2024-01-02 07:00:00,2024-01-02 07:09:00,2024-01-02 07:38:00,Uttara,Mirpur,9.71,241.69216866394552,completed
100032,1459,313,2024-01-02 08:00:00,2024-01-02 08:02:00,2024-01-02 08:22:00,Gulshan,Gulshan,1.35,29.70455488373554,CANCELLED
100033,4385,239,2024-01-02 09:00:00,2024-01-02 09:18:00,2024-01-02 10:16:00,Dhanmondi,Dhanmondi,6.59,180.1645595299786,Completed
100034,1021,500,2024-01-02 10:00:00,2024-01-02 10:13:00,2024-01-02 11:08:00,Uttara,Dhanmondi,14.8,461.77219557386184,CANCELLED
100035,3300,423,2024-01-02 11:00:00,2024-01-02 11:22:00,2024-01-02 11:35:00,Mirpur,Dhanmondi,2.41,52.17143021745632,Completed
100036,1747,517,2024-01-02 12:00:00,2024-01-02 12:12:00,2024-01-02 12:17:00,Uttara,Gulshan,6.93,182.74584896189901,Completed
100037,3904,548,2024-01-02 13:00:00,2024-01-02 13:06:00,2024-01-02 13:52:00,Uttara,Banani,5.3,107.41391873036743,CANCELLED
100038,4632,314,2024-01-02 14:00:00,2024-01-02 14:13:00,2024-01-02 14:36:00,Mirpur,Dhanmondi,13.67,280.28131019676886,Completed
100039,1474,522,2024-01-02 15:00:00,,2024-01-02 15:55:00,Uttara,Banani,13.17,358.8074369034523,Completed
100040,2082,767,2024-01-02 16:00:00,2024-01-02 16:07:00,2024-01-02 16:45:00,Mirpur,Gulshan,4.33,105.96791451490287,Completed
100041,3558,239,2024-01-02 17:00:00,2024-01-02 17:02:00,2024-01-02 17:22:00,Mirpur,Gulshan,2.14,69.92794429807373,Completed
100042,4753,239,2024-01-02 18:00:00,2024-01-02 18:06:00,2024-01-02 18:54:00,Mirpur,Mirpur,9.78,283.9360367087508,Completed
100043,3047,488,2024-01-02 19:00:00,2024-01-02 19:15:00,2024-01-02 19:59:00,Dhanmondi,Dhanmondi,5.71,153.07935817328712,Completed
100044,4547,461,2024-01-02 20:00:00,2024-01-02 20:06:00,2024-01-02 21:05:00,Gulshan,Mirpur,10.41,271.89910819012835,Completed
100045,3747,415,2024-01-02 21:00:00,2024-01-02 21:23:00,2024-01-02 21:45:00,Dhanmondi,Dhanmondi,1.45,39.815089194123,Completed
100046,1975,346,2024-01-02 22:00:00,2024-01-02 22:02:00,2024-01-02 22:40:00,Mirpur,Gulshan,2.87,59.14089168370507,Completed
100047,2806,535,2024-01-02 23:00:00,2024-01-02 23:19:00,2024-01-02 23:48:00,Gulshan,Gulshan,10.61,354.288062674348,CANCELLED
100048,1189,367,2024-01-03 00:00:00,,2024-01-03 01:06:00,Gulshan,Uttara,3.97,138.84895292395723,Cancelled
100049,4005,291,2024-01-03 01:00:00,,2024-01-03 01:20:00,Mirpur,Uttara,13.01,295.61721241617505,Completed
100050,3734,552,2024-01-03 02:00:00,2024-01-03 02:20:00,2024-01-03 02:45:00,Gulshan,Gulshan,1.82,39.68645493834712,Completed
100051,4005,770,2024-01-03 03:00:00,2024-01-03 03:23:00,2024-01-03 03:33:00,Gulshan,Gulshan,4.02,89.05772104595029,completed
100052,1562,770,2024-01-03 04:00:00,2024-01-03 04:06:00,2024-01-03 04:42:00,Dhanmondi,Banani,14.98,448.1327799852623,Completed
100053,2899,562,2024-01-03 05:00:00,2024-01-03 05:03:00,2024-01-03 05:48:00,Gulshan,Banani,7.06,211.24658479193704,Completed
100054,4638,756,2024-01-03 06:00:00,2024-01-03 06:16:00,2024-01-03 07:08:00,Mirpur,Mirpur,10.84,354.67246878646966,Completed
100055,2267,544,2024-01-03 07:00:00,2024-01-03 07:08:00,2024-01-03 07:55:00,Banani,Uttara,3.56,111.34752914196193,completed
100056,3879,369,2024-01-03 08:00:00,2024-01-03 08:05:00,2024-01-03 08:48:00,Banani,Uttara,9.54,255.1505922591525,Completed
100057,2528,555,2024-01-03 09:00:00,2024-01-03 09:02:00,2024-01-03 09:37:00,Banani,Gulshan,11.17,326.0839158302692,Completed
100058,4202,390,2024-01-03 10:00:00,2024-01-03 10:14:00,2024-01-03 11:00:00,Mirpur,Gulshan,5.4,163.75105829980865,Completed
100059,4556,621,2024-01-03 11:00:00,2024-01-03 11:21:00,2024-01-03 11:35:00,Banani,Mirpur,12.6,348.90719288390756,Completed
100060,4890,206,2024-01-03 12:00:00,2024-01-03 12:23:00,2024-01-03 12:57:00,Dhanmondi,Uttara,9.45,256.4235270460195,Completed
100061,1646,332,2024-01-03 13:00:00,,2024-01-03 14:04:00,Mirpur,Banani,6.45,191.41317786592668,Completed
100062,3068,756,2024-01-03 14:00:00,2024-01-03 14:16:00,2024-01-03 14:38:00,Mirpur,Dhanmondi,8.81,249.87026164713265,Completed
100063,3888,230,2024-01-03 15:00:00,2024-01-03 15:24:00,2024-01-03 15:52:00,Mirpur,Mirpur,9.07,269.0083506409506,Completed
100064,3214,734,2024-01-03 16:00:00,2024-01-03 16:15:00,2024-01-03 17:11:00,Gulshan,Dhanmondi,3.32,96.92016774337552,Completed
100065,2297,625,2024-01-03 17:00:00,2024-01-03 17:24:00,2024-01-03 17:37:00,Gulshan,Banani,6.64,204.43197742715998,completed
100066,3435,593,2024-01-03 18:00:00,2024-01-03 18:20:00,2024-01-03 18:55:00,Gulshan,Banani,5.81,172.22032579042764,completed
100067,1600,562,2024-01-03 19:00:00,2024-01-03 19:23:00,2024-01-03 19:42:00,Uttara,Dhanmondi,6.61,183.73246753025506,Completed
100068,3363,636,2024-01-03 20:00:00,2024-01-03 20:21:00,2024-01-03 20:29:00,Dhanmondi,Mirpur,11.66,352.4462622936392,Completed
100069,3061,750,2024-01-03 21:00:00,2024-01-03 21:19:00,2024-01-03 22:03:00,Mirpur,Dhanmondi,7.76,207.5197007475838,Completed
100070,1241,281,2024-01-03 22:00:00,2024-01-03 22:11:00,2024-01-03 22:24:00,Mirpur,Mirpur,14.16,334.5309683965805,Completed
100071,3041,555,2024-01-03 23:00:00,2024-01-03 23:10:00,2024-01-03 23:59:00,Gulshan,Mirpur,5.11,102.30870657326463,Cancelled
100072,3824,457,2024-01-04 00:00:00,2024-01-04 00:09:00,2024-01-04 00:22:00,Mirpur,Gulshan,6.82,193.68433225301976,Completed
100073,4417,788,2024-01-04 01:00:00,2024-01-04 01:11:00,2024-01-04 01:41:00,Mirpur,Uttara,12.02,346.895137357538,Completed
100074,3612,723,2024-01-04 02:00:00,2024-01-04 02:18:00,2024-01-04 02:26:00,Banani,Uttara,8.64,298.7775458349326,Cancelled
100075,3945,494,2024-01-04 03:00:00,2024-01-04 03:03:00,2024-01-04 03:24:00,Mirpur,Banani,8.66,220.1560355988464,CANCELLED
100076,2363,423,2024-01-04 04:00:00,,2024-01-04 04:27:00,Uttara,Gulshan,1.75,45.34599762424318,Completed
100077,3139,724,2024-01-04 05:00:00,,2024-01-04 05:25:00,Gulshan,Uttara,6.58,151.51761867847418,Completed
100078,2390,245,2024-01-04 06:00:00,2024-01-04 06:10:00,2024-01-04 06:49:00,Dhanmondi,Mirpur,4.79,100.86788911280158,Completed
100079,4003,312,2024-01-04 07:00:00,2024-01-04 07:06:00,2024-01-04 08:02:00,Dhanmondi,Mirpur,14.99,473.56509021996237,completed
100080,2478,432,2024-01-04 08:00:00,2024-01-04 08:19:00,2024-01-04 08:28:00,Banani,Dhanmondi,5.32,126.32454893427816,Cancelled
100081,4499,216,2024-01-04 09:00:00,2024-01-04 09:21:00,2024-01-04 10:20:00,Dhanmondi,Dhanmondi,13.38,389.8072056087287,Completed
100082,3556,559,2024-01-04 10:00:00,2024-01-04 10:10:00,2024-01-04 10:19:00,Dhanmondi,Mirpur,10.47,317.4147552324179,Completed
100083,1775,422,2024-01-04 11:00:00,2024-01-04 11:18:00,2024-01-04 11:42:00,Gulshan,Mirpur,5.77,156.1855352850921,Completed
100084,1034,647,2024-01-04 12:00:00,2024-01-04 12:18:00,2024-01-04 12:37:00,Gulshan,Dhanmondi,8.61,285.38087539746175,Completed
100085,3253,564,2024-01-04 13:00:00,2024-01-04 13:13:00,2024-01-04 13:35:00,Uttara,Uttara,12.77,340.408901789667,Completed
100086,4152,525,2024-01-04 14:00:00,2024-01-04 14:08:00,2024-01-04 14:59:00,Banani,Banani,13.37,324.5384243510259,Completed
100087,2955,666,2024-01-04 15:00:00,2024-01-04 15:04:00,2024-01-04 15:10:00,Dhanmondi,Dhanmondi,3.25,108.6807567443791,Completed
100088,2585,613,2024-01-04 16:00:00,2024-01-04 16:11:00,2024-01-04 16:44:00,Uttara,Uttara,5.75,189.30991951655872,Cancelled
100089,4943,654,2024-01-04 17:00:00,2024-01-04 17:03:00,2024-01-04 17:20:00,Banani,Uttara,5.69,127.80080948297186,Completed
100090,4459,785,2024-01-04 18:00:00,2024-01-04 18:04:00,2024-01-04 18:12:00,Dhanmondi,Uttara,1.59,32.41917028774102,Completed
100091,4073,432,2024-01-04 19:00:00,,2024-01-04 20:03:00,Dhanmondi,Gulshan,9.38,200.26096777839166,Completed
100092,2021,423,2024-01-04 20:00:00,,2024-01-04 20:52:00,Gulshan,Gulshan,12.97,315.14779638864513,completed
100093,4461,611,2024-01-04 21:00:00,2024-01-04 21:11:00,2024-01-04 21:25:00,Mirpur,Uttara,6.34,219.26190714563668,Completed
100094,3613,771,2024-01-04 22:00:00,2024-01-04 22:07:00,2024-01-04 22:42:00,Banani,Mirpur,11.36,322.37115249860454,CANCELLED
100095,2129,534,2024-01-04 23:00:00,2024-01-04 23:23:00,2024-01-05 00:08:00,Dhanmondi,Gulshan,9.79,250.61348534849813,Completed
100096,4843,421,2024-01-05 00:00:00,,2024-01-05 00:24:00,Banani,Dhanmondi,6.26,208.6504412841369,CANCELLED
100097,4893,236,2024-01-05 01:00:00,2024-01-05 01:24:00,2024-01-05 01:31:00,Uttara,Gulshan,2.97,79.58722356736716,completed
100098,2500,477,2024-01-05 02:00:00,2024-01-05 02:08:00,2024-01-05 03:00:00,Uttara,Mirpur,10.93,270.2833731263474,Completed
100099,1702,395,2024-01-05 03:00:00,2024-01-05 03:16:00,2024-01-05 04:06:00,Mirpur,Banani,12.96,442.17307638815583,CANCELLED
100100,3449,683,2024-01-05 04:00:00,2024-01-05 04:07:00,2024-01-05 04:20:00,Dhanmondi,Gulshan,10.6,347.0733089246358,Completed
100101,3777,441,2024-01-05 05:00:00,2024-01-05 05:21:00,2024-01-05 05:55:00,Gulshan,Uttara,1.25,40.81878203911452,Completed
100102,2579,523,2024-01-05 06:00:00,2024-01-05 06:10:00,2024-01-05 07:07:00,Dhanmondi,Uttara,4.03,111.56761271738539,Completed
100103,1161,391,2024-01-05 07:00:00,2024-01-05 07:23:00,2024-01-05 07:38:00,Banani,Uttara,1.97,62.727904684996695,Completed
100104,1201,216,2024-01-05 08:00:00,2024-01-05 08:21:00,2024-01-05 09:00:00,Uttara,Banani,8.99,203.98580049682482,Cancelled
100105,2981,723,2024-01-05 09:00:00,2024-01-05 09:13:00,2024-01-05 09:54:00,Banani,Mirpur,11.59,331.454811171153,Cancelled
100106,1995,600,2024-01-05 10:00:00,2024-01-05 10:20:00,2024-01-05 11:06:00,Mirpur,Dhanmondi,2.55,88.63210654891861,Completed
100107,3317,221,2024-01-05 11:00:00,2024-01-05 11:21:00,2024-01-05 11:38:00,Uttara,Mirpur,12.74,310.40215607198246,Completed
100108,4934,673,2024-01-05 12:00:00,2024-01-05 12:04:00,2024-01-05 12:44:00,Gulshan,Banani,8.78,280.2162017619188,Completed
100109,1815,319,2024-01-05 13:00:00,2024-01-05 13:16:00,2024-01-05 13:33:00,Uttara,Uttara,10.66,291.62749731257,Completed
100110,4342,409,2024-01-05 14:00:00,2024-01-05 14:03:00,2024-01-05 14:19:00,Dhanmondi,Mirpur,14.6,300.71744462563714,Completed
100111,1455,505,2024-01-05 15:00:00,2024-01-05 15:22:00,2024-01-05 16:03:00,Dhanmondi,Dhanmondi,2.17,68.23628139889998,CANCELLED
100112,4533,469,2024-01-05 16:00:00,2024-01-05 16:03:00,2024-01-05 16:17:00,Uttara,Uttara,13.62,306.8386761993086,Completed
100113,4798,484,2024-01-05 17:00:00,2024-01-05 17:23:00,2024-01-05 17:36:00,Mirpur,Dhanmondi,2.77,81.63772671436577,Completed
100114,2275,426,2024-01-05 18:00:00,2024-01-05 18:04:00,2024-01-05 19:00:00,Dhanmondi,Gulshan,6.5,138.35225891957987,completed
100115,2016,580,2024-01-05 19:00:00,2024-01-05 19:07:00,2024-01-05 19:18:00,Dhanmondi,Dhanmondi,12.92,441.902901634718,Completed
100116,4773,659,2024-01-05 20:00:00,2024-01-05 20:16:00,2024-01-05 20:22:00,Gulshan,Uttara,13.69,333.7055002324871,Completed
100117,3343,206,2024-01-05 21:00:00,2024-01-05 21:11:00,2024-01-05 22:09:00,Uttara,Gulshan,8.09,189.28149033505187,Completed
100118,4796,228,2024-01-05 22:00:00,2024-01-05 22:10:00,2024-01-05 22:37:00,Dhanmondi,Uttara,9.32,204.45326928847356,Completed
100119,3767,232,2024-01-05 23:00:00,2024-01-05 23:02:00,2024-01-05 23:45:00,Mirpur,Uttara,10.91,373.0132589399352,CANCELLED
100120,4820,278,2024-01-06 00:00:00,2024-01-06 00:17:00,2024-01-06 01:01:00,Banani,Gulshan,12.66,388.3905206896038,Completed
100121,1337,658,2024-01-06 01:00:00,2024-01-06 01:07:00,2024-01-06 01:50:00,Uttara,Dhanmondi,2.7,84.03726599308258,Completed
100122,1878,769,2024-01-06 02:00:00,2024-01-06 02:10:00,2024-01-06 02:35:00,Gulshan,Banani,12.34,339.2397843114833,Completed
100123,2076,737,2024-01-06 03:00:00,2024-01-06 03:05:00,2024-01-06 03:32:00,Dhanmondi,Banani,7.74,209.91589586990315,Completed
100124,1791,681,2024-01-06 04:00:00,2024-01-06 04:03:00,2024-01-06 04:36:00,Mirpur,Banani,7.31,158.2638292940154,Cancelled
100125,4993,629,2024-01-06 05:00:00,2024-01-06 05:05:00,2024-01-06 05:23:00,Uttara,Banani,6.93,196.79548188595595,CANCELLED
100126,3264,484,2024-01-06 06:00:00,2024-01-06 06:02:00,2024-01-06 06:32:00,Mirpur,Mirpur,8.13,192.71146657851702,completed
100127,1763,715,2024-01-06 07:00:00,2024-01-06 07:20:00,2024-01-06 08:15:00,Mirpur,Banani,14.23,493.17167128624664,Completed
100128,3235,298,2024-01-06 08:00:00,2024-01-06 08:11:00,2024-01-06 08:20:00,Gulshan,Gulshan,8.67,276.99535124896994,Completed
100129,1379,596,2024-01-06 09:00:00,2024-01-06 09:22:00,2024-01-06 10:21:00,Uttara,Banani,14.34,375.6345921474901,Completed
100130,1492,688,2024-01-06 10:00:00,2024-01-06 10:16:00,2024-01-06 10:51:00,Dhanmondi,Uttara,3.52,78.39081845891295,Completed
100131,4112,238,2024-01-06 11:00:00,2024-01-06 11:23:00,2024-01-06 11:52:00,Gulshan,Banani,11.14,354.02892558929085,Completed
100132,2180,470,2024-01-06 12:00:00,2024-01-06 12:20:00,2024-01-06 12:55:00,Dhanmondi,Dhanmondi,12.37,270.0470764819382,Completed
100133,3062,356,2024-01-06 13:00:00,2024-01-06 13:17:00,2024-01-06 14:11:00,Banani,Gulshan,10.51,240.04846623881315,CANCELLED
100134,4884,274,2024-01-06 14:00:00,2024-01-06 14:22:00,2024-01-06 14:46:00,Mirpur,Gulshan,9.5,220.14167377855242,Completed
100135,1064,329,2024-01-06 15:00:00,2024-01-06 15:23:00,2024-01-06 16:11:00,Banani,Mirpur,8.91,252.62843380519908,Completed
100136,4928,283,2024-01-06 16:00:00,2024-01-06 16:05:00,2024-01-06 17:04:00,Mirpur,Uttara,13.05,415.06634001861426,Completed
100137,4910,221,2024-01-06 17:00:00,2024-01-06 17:03:00,2024-01-06 17:24:00,Gulshan,Gulshan,12.5,308.9340397608798,Completed
100138,3568,658,2024-01-06 18:00:00,,2024-01-06 19:03:00,Dhanmondi,Dhanmondi,2.71,57.64182795029051,Completed
100139,2367,738,2024-01-06 19:00:00,2024-01-06 19:02:00,2024-01-06 19:08:00,Dhanmondi,Banani,12.88,347.3488311529178,Completed
100140,2152,581,2024-01-06 20:00:00,2024-01-06 20:18:00,2024-01-06 20:47:00,Gulshan,Gulshan,6.8,212.30724459831345,Completed
100141,3027,639,2024-01-06 21:00:00,2024-01-06 21:14:00,2024-01-06 21:31:00,Uttara,Dhanmondi,4.55,106.12855729071426,Completed
100142,3695,220,2024-01-06 22:00:00,2024-01-06 22:05:00,2024-01-06 22:48:00,Banani,Banani,13.18,307.07908314738427,Cancelled
100143,2495,502,2024-01-06 23:00:00,2024-01-06 23:08:00,2024-01-06 23:40:00,Banani,Mirpur,7.05,241.16925814191467,Completed
100144,4134,283,2024-01-07 00:00:00,2024-01-07 00:18:00,2024-01-07 01:04:00,Dhanmondi,Gulshan,12.32,422.7276087716241,Completed
100145,2162,652,2024-01-07 01:00:00,2024-01-07 01:10:00,2024-01-07 02:09:00,Dhanmondi,Gulshan,4.69,163.4792642505319,Completed
100146,2522,586,2024-01-07 02:00:00,2024-01-07 02:05:00,2024-01-07 02:15:00,Dhanmondi,Dhanmondi,1.06,34.041787665039,Completed
100147,3640,706,2024-01-07 03:00:00,2024-01-07 03:20:00,2024-01-07 03:27:00,Gulshan,Uttara,7.94,181.2127345479023,CANCELLED
100148,1391,456,2024-01-07 04:00:00,2024-01-07 04:02:00,2024-01-07 04:41:00,Uttara,Mirpur,2.4,55.631334748773405,Completed
100149,2698,769,2024-01-07 05:00:00,,2024-01-07 05:33:00,Banani,Uttara,11.56,290.19505687998276,Completed
100150,1418,726,2024-01-07 06:00:00,2024-01-07 06:05:00,2024-01-07 06:20:00,Mirpur,Gulshan,4.87,120.63958141391151,completed
100151,3336,361,2024-01-07 07:00:00,2024-01-07 07:10:00,2024-01-07 08:08:00,Gulshan,Uttara,7.21,247.64847606278667,Completed
100152,1378,362,2024-01-07 08:00:00,2024-01-07 08:14:00,2024-01-07 08:38:00,Banani,Banani,2.22,70.6761636299604,Completed
100153,2796,723,2024-01-07 09:00:00,2024-01-07 09:15:00,2024-01-07 09:24:00,Uttara,Mirpur,5.01,154.60926073094078,Completed
100154,4561,470,2024-01-07 10:00:00,2024-01-07 10:11:00,2024-01-07 10:34:00,Gulshan,Uttara,11.94,272.10601342881137,Completed
100155,3278,691,2024-01-07 11:00:00,2024-01-07 11:07:00,2024-01-07 11:33:00,Banani,Banani,3.12,104.96579617815704,completed
100156,4065,407,2024-01-07 12:00:00,2024-01-07 12:17:00,2024-01-07 12:40:00,Gulshan,Dhanmondi,10.06,326.1256402674817,Completed
100157,3088,738,2024-01-07 13:00:00,2024-01-07 13:07:00,2024-01-07 13:58:00,Banani,Uttara,13.84,310.772046259677,Completed
100158,4099,783,2024-01-07 14:00:00,2024-01-07 14:18:00,2024-01-07 14:38:00,Banani,Mirpur,10.52,347.87067838344143,Completed
100159,3182,259,2024-01-07 15:00:00,2024-01-07 15:11:00,2024-01-07 15:39:00,Uttara,Banani,12.35,297.43385611262977,Completed
100160,1200,629,2024-01-07 16:00:00,2024-01-07 16:19:00,2024-01-07 17:04:00,Mirpur,Uttara,2.53,53.66900685432842,Completed
100161,2863,508,2024-01-07 17:00:00,2024-01-07 17:23:00,2024-01-07 17:31:00,Uttara,Dhanmondi,4.51,134.63402903568632,Completed
100162,1779,719,2024-01-07 18:00:00,2024-01-07 18:19:00,2024-01-07 18:38:00,Banani,Uttara,13.52,402.9915849231422,Completed
100163,3977,790,2024-01-07 19:00:00,2024-01-07 19:04:00,2024-01-07 19:33:00,Gulshan,Banani,11.01,235.87802137976183,Completed
100164,4104,226,2024-01-07 20:00:00,,2024-01-07 21:09:00,Uttara,Uttara,9.95,246.5886324837849,CANCELLED
100165,4119,761,2024-01-07 21:00:00,2024-01-07 21:22:00,2024-01-07 22:21:00,Mirpur,Mirpur,10.29,359.0409122491424,Completed
100166,1502,398,2024-01-07 22:00:00,2024-01-07 22:16:00,2024-01-07 22:55:00,Banani,Gulshan,6.8,205.19952003489115,Completed
100167,3454,586,2024-01-07 23:00:00,2024-01-07 23:16:00,2024-01-08 00:15:00,Uttara,Banani,1.62,50.14082654846091,Completed
100168,4645,548,2024-01-08 00:00:00,2024-01-08 00:05:00,2024-01-08 00:23:00,Uttara,Banani,11.98,277.8612362230937,CANCELLED
100169,2751,735,2024-01-08 01:00:00,2024-01-08 01:10:00,2024-01-08 02:03:00,Uttara,Banani,10.5,222.4081761831165,Cancelled
100170,1804,577,2024-01-08 02:00:00,2024-01-08 02:20:00,2024-01-08 02:43:00,Uttara,Banani,7.62,184.0498631373892,Cancelled
100171,3146,757,2024-01-08 03:00:00,2024-01-08 03:18:00,2024-01-08 04:00:00,Gulshan,Uttara,13.6,322.77527057941114,Completed
100172,3731,726,2024-01-08 04:00:00,2024-01-08 04:12:00,2024-01-08 04:52:00,Mirpur,Mirpur,5.71,134.28870222907074,completed
100173,2895,352,2024-01-08 05:00:00,2024-01-08 05:10:00,2024-01-08 05:21:00,Mirpur,Dhanmondi,5.12,117.20353192092463,Completed
100174,3773,405,2024-01-08 06:00:00,2024-01-08 06:11:00,2024-01-08 06:45:00,Banani,Mirpur,13.22,378.3740534569667,Completed
100175,2570,654,2024-01-08 07:00:00,2024-01-08 07:19:00,2024-01-08 07:42:00,Dhanmondi,Banani,12.16,303.0460739935483,Completed
100176,1960,472,2024-01-08 08:00:00,,2024-01-08 09:14:00,Gulshan,Uttara,8.21,265.22548860310343,completed
100177,4810,435,2024-01-08 09:00:00,2024-01-08 09:14:00,2024-01-08 09:43:00,Banani,Uttara,2.83,64.40856788762146,Cancelled
100178,3660,720,2024-01-08 10:00:00,2024-01-08 10:09:00,2024-01-08 10:29:00,Banani,Banani,4.01,108.14731831274294,completed
100179,2485,700,2024-01-08 11:00:00,2024-01-08 11:08:00,2024-01-08 11:59:00,Uttara,Uttara,10.19,205.88760029772632,CANCELLED
100180,3690,316,2024-01-08 12:00:00,2024-01-08 12:18:00,2024-01-08 13:16:00,Dhanmondi,Banani,6.39,173.96925060733014,Completed
100181,4840,585,2024-01-08 13:00:00,,2024-01-08 14:06:00,Dhanmondi,Mirpur,12.71,264.8455568100998,Completed
100182,2028,543,2024-01-08 14:00:00,2024-01-08 14:24:00,2024-01-08 15:19:00,Gulshan,Gulshan,14.3,495.72169329668213,Completed
100183,4289,783,2024-01-08 15:00:00,2024-01-08 15:16:00,2024-01-08 15:28:00,Dhanmondi,Uttara,12.28,391.22707009740606,completed
100184,1502,594,2024-01-08 16:00:00,2024-01-08 16:21:00,2024-01-08 16:43:00,Banani,Banani,6.29,172.04201782064956,Completed
100185,3814,263,2024-01-08 17:00:00,2024-01-08 17:16:00,2024-01-08 17:48:00,Dhanmondi,Banani,12.04,256.43767688719066,completed
100186,1397,271,2024-01-08 18:00:00,2024-01-08 18:02:00,2024-01-08 18:22:00,Dhanmondi,Uttara,5.92,171.0091551421888,Completed
