"trip_id","customer_id","driver_id","pickup_location","drop_location","customer_segment","driver_city","vehicle_type","rating","payment_type","discount","final_amount","trip_status","distance_km","fare","pickup_time","drop_time","trip_duration_min","realized_revenue"
"100023","3391","323","Gulshan","Uttara","Premium","Dhaka","car","4.2","wallet","46.40","99.79","completed","7.21","146.19","2024-01-01 23:19:00","2024-01-01 23:57:00","38.0000000000000000","99.79"
"100024","2515","237","Mirpur","Dhanmondi","Regular","Dhaka","car","4.5","wallet","8.74","164.13","completed","7.78","172.87","2024-01-02 00:17:00","2024-01-02 00:46:00","29.0000000000000000","164.13"
"100025","4485","527","Dhanmondi","Mirpur","Premium","Dhaka","car","3.8","card","44.14","280.36","completed","12.64","324.50","2024-01-02 01:24:00","2024-01-02 01:44:00","20.0000000000000000","280.36"
"100026","3853","450","Uttara","Banani","Regular","Dhaka","car","3.8","card","20.25","389.42","completed","13.54","409.67","2024-01-02 02:20:00","2024-01-02 02:58:00","38.0000000000000000","389.42"
"100027","3433","375","Gulshan","Uttara","Regular","Dhaka","bike","3.6","cash","13.46","145.84","completed","6.80","159.30","2024-01-02 03:20:00","2024-01-02 03:53:00","33.0000000000000000","145.84"
"100028","2215","653","Dhanmondi","Banani","Regular","Dhaka","bike","3.7","cash","9.93","23.00","completed","1.25","32.93","2024-01-02 04:19:00","2024-01-02 04:42:00","23.0000000000000000","23.00"
"100029","1955","236","Gulshan","Uttara","Regular","Dhaka","bike","4.8","wallet","25.22","345.16","completed","13.06","370.38","2024-01-02 05:21:00","2024-01-02 05:48:00","27.0000000000000000","345.16"
"100030","3324","515","Dhanmondi","Uttara","Regular","Dhaka","bike","3.7","cash","33.46","81.19","completed","3.44","114.65","2024-01-02 06:17:00","2024-01-02 06:40:00","23.0000000000000000","81.19"
"100031","2184","792","Uttara","Mirpur","Regular","Dhaka","car","4.8","cash","44.91","196.78","completed","9.71","241.69","2024-01-02 07:09:00","2024-01-02 07:38:00","29.0000000000000000","196.78"
"100032","1459","313","Gulshan","Gulshan","Regular","Dhaka","car","4.3","cash","32.62","-2.92","cancelled","1.35","29.70","2024-01-02 08:02:00","2024-01-02 08:22:00","20.0000000000000000","0"
"100033","4385","239","Dhanmondi","Dhanmondi","Premium","Dhaka","bike","4.4","cash","24.18","155.98","completed","6.59","180.16","2024-01-02 09:18:00","2024-01-02 10:16:00","58.0000000000000000","155.98"
"100034","1021","500","Uttara","Dhanmondi","Regular","Dhaka","bike","4.7","cash","1.67","460.10","cancelled","14.80","461.77","2024-01-02 10:13:00","2024-01-02 11:08:00","55.0000000000000000","0"
"100035","3300","423","Mirpur","Dhanmondi","Regular","Dhaka","car","4.5","cash","45.77","6.40","completed","2.41","52.17","2024-01-02 11:22:00","2024-01-02 11:35:00","13.0000000000000000","6.40"
"100036","1747","517","Uttara","Gulshan","Regular","Dhaka","car","4.1","cash","45.12","137.63","completed","6.93","182.75","2024-01-02 12:12:00","2024-01-02 12:17:00","5.0000000000000000","137.63"
"100037","3904","548","Uttara","Banani","Regular","Dhaka","car","3.6","cash","18.94","88.47","cancelled","5.30","107.41","2024-01-02 13:06:00","2024-01-02 13:52:00","46.0000000000000000","0"
"100038","4632","314","Mirpur","Dhanmondi","Premium","Dhaka","bike","4.8","wallet","1.45","278.83","completed","13.67","280.28","2024-01-02 14:13:00","2024-01-02 14:36:00","23.0000000000000000","278.83"
"100039","1474","522","Uttara","Banani","Regular","Dhaka","bike","4.2","card","36.67","322.14","completed","13.17","358.81","2024-01-02 15:00:00","2024-01-02 15:55:00","55.0000000000000000","322.14"
"100040","2082","767","Mirpur","Gulshan","Regular","Dhaka","car","4.3","cash","39.58","66.39","completed","4.33","105.97","2024-01-02 16:07:00","2024-01-02 16:45:00","38.0000000000000000","66.39"
"100041","3558","239","Mirpur","Gulshan","Regular","Dhaka","bike","4.4","wallet","27.12","42.81","completed","2.14","69.93","2024-01-02 17:02:00","2024-01-02 17:22:00","20.0000000000000000","42.81"
"100042","4753","239","Mirpur","Mirpur","Regular","Dhaka","bike","4.4","cash","20.14","263.80","completed","9.78","283.94","2024-01-02 18:06:00","2024-01-02 18:54:00","48.0000000000000000","263.80"
"100043","3047","488","Dhanmondi","Dhanmondi","Regular","Dhaka","bike","4.5","cash","42.56","110.52","completed","5.71","153.08","2024-01-02 19:15:00","2024-01-02 19:59:00","44.0000000000000000","110.52"
"100044","4547","461","Gulshan","Mirpur","Regular","Dhaka","car","4.5","card","9.63","262.27","completed","10.41","271.90","2024-01-02 20:06:00","2024-01-02 21:05:00","59.0000000000000000","262.27"
"100045","3747","415","Dhanmondi","Dhanmondi","Regular","Dhaka","bike","4.6","wallet","21.98","17.84","completed","1.45","39.82","2024-01-02 21:23:00","2024-01-02 21:45:00","22.0000000000000000","17.84"
"100046","1975","346","Mirpur","Gulshan","Regular","Dhaka","bike","4.9","cash","1.22","57.92","completed","2.87","59.14","2024-01-02 22:02:00","2024-01-02 22:40:00","38.0000000000000000","57.92"
"100047","2806","535","Gulshan","Gulshan","Regular","Dhaka","bike","3.7","card","8.20","346.09","cancelled","10.61","354.29","2024-01-02 23:19:00","2024-01-02 23:48:00","29.0000000000000000","0"
"100048","1189","367","Gulshan","Uttara","Premium","Dhaka","car","4.8","card","47.04","91.81","cancelled","3.97","138.85","2024-01-03 00:00:00","2024-01-03 01:06:00","66.0000000000000000","0"
"100049","4005","291","Mirpur","Uttara","Regular","Dhaka","bike","4.6","cash","28.90","266.72","completed","13.01","295.62","2024-01-03 01:00:00","2024-01-03 01:20:00","20.0000000000000000","266.72"
"100050","3734","552","Gulshan","Gulshan","Regular","Dhaka","bike","3.7","cash","40.28","-0.59","completed","1.82","39.69","2024-01-03 02:20:00","2024-01-03 02:45:00","25.0000000000000000","-0.59"
"100051","4005","770","Gulshan","Gulshan","Regular","Dhaka","bike","4.2","wallet","24.33","64.73","completed","4.02","89.06","2024-01-03 03:23:00","2024-01-03 03:33:00","10.0000000000000000","64.73"
"100052","1562","770","Dhanmondi","Banani","Regular","Dhaka","bike","4.2","wallet","41.74","406.39","completed","14.98","448.13","2024-01-03 04:06:00","2024-01-03 04:42:00","36.0000000000000000","406.39"
"100053","2899","562","Gulshan","Banani","Regular","Dhaka","bike","4.7","cash","26.95","184.30","completed","7.06","211.25","2024-01-03 05:03:00","2024-01-03 05:48:00","45.0000000000000000","184.30"
"100054","4638","756","Mirpur","Mirpur","Regular","Dhaka","bike","4.3","cash","0.23","354.44","completed","10.84","354.67","2024-01-03 06:16:00","2024-01-03 07:08:00","52.0000000000000000","354.44"
"100055","2267","544","Banani","Uttara","Regular","Dhaka","car","4.3","card","44.98","66.37","completed","3.56","111.35","2024-01-03 07:08:00","2024-01-03 07:55:00","47.0000000000000000","66.37"
"100056","3879","369","Banani","Uttara","Regular","Dhaka","car","4.8","wallet","7.43","247.72","completed","9.54","255.15","2024-01-03 08:05:00","2024-01-03 08:48:00","43.0000000000000000","247.72"
"100057","2528","555","Banani","Gulshan","Regular","Dhaka","bike","4.7","cash","22.53","303.55","completed","11.17","326.08","2024-01-03 09:02:00","2024-01-03 09:37:00","35.0000000000000000","303.55"
"100058","4202","390","Mirpur","Gulshan","Regular","Dhaka","bike","4.0","cash","23.83","139.92","completed","5.40","163.75","2024-01-03 10:14:00","2024-01-03 11:00:00","46.0000000000000000","139.92"
"100059","4556","621","Banani","Mirpur","Regular","Dhaka","bike","3.9","wallet","2.36","346.55","completed","12.60","348.91","2024-01-03 11:21:00","2024-01-03 11:35:00","14.0000000000000000","346.55"
"100060","4890","206","Dhanmondi","Uttara","Premium","Dhaka","bike","4.2","cash","2.65","253.77","completed","9.45","256.42","2024-01-03 12:23:00","2024-01-03 12:57:00","34.0000000000000000","253.77"
"100061","1646","332","Mirpur","Banani","Regular","Dhaka","bike","4.9","card","38.13","153.28","completed","6.45","191.41","2024-01-03 13:00:00","2024-01-03 14:04:00","64.0000000000000000","153.28"
"100062","3068","756","Mirpur","Dhanmondi","Regular","Dhaka","bike","4.3","card","15.02","234.85","completed","8.81","249.87","2024-01-03 14:16:00","2024-01-03 14:38:00","22.0000000000000000","234.85"
"100063","3888","230","Mirpur","Mirpur","Regular","Dhaka","car","3.7","cash","20.48","248.53","completed","9.07","269.01","2024-01-03 15:24:00","2024-01-03 15:52:00","28.0000000000000000","248.53"
"100064","3214","734","Gulshan","Dhanmondi","Regular","Dhaka","bike","4.4","wallet","28.21","68.71","completed","3.32","96.92","2024-01-03 16:15:00","2024-01-03 17:11:00","56.0000000000000000","68.71"
"100065","2297","625","Gulshan","Banani","Premium","Dhaka","car","3.7","card","18.67","185.76","completed","6.64","204.43","2024-01-03 17:24:00","2024-01-03 17:37:00","13.0000000000000000","185.76"
"100066","3435","593","Gulshan","Banani","Regular","Dhaka","bike","3.6","wallet","38.75","133.47","completed","5.81","172.22","2024-01-03 18:20:00","2024-01-03 18:55:00","35.0000000000000000","133.47"
"100067","1600","562","Uttara","Dhanmondi","Regular","Dhaka","bike","4.7","wallet","44.22","139.51","completed","6.61","183.73","2024-01-03 19:23:00","2024-01-03 19:42:00","19.0000000000000000","139.51"
"100068","3363","636","Dhanmondi","Mirpur","Regular","Dhaka","car","4.3","wallet","2.99","349.46","completed","11.66","352.45","2024-01-03 20:21:00","2024-01-03 20:29:00","8.0000000000000000","349.46"
"100069","3061","750","Mirpur","Dhanmondi","Regular","Dhaka","bike","3.6","card","31.77","175.75","completed","7.76","207.52","2024-01-03 21:19:00","2024-01-03 22:03:00","44.0000000000000000","175.75"
"100070","1241","281","Mirpur","Mirpur","Regular","Dhaka","bike","4.6","card","15.88","318.65","completed","14.16","334.53","2024-01-03 22:11:00","2024-01-03 22:24:00","13.0000000000000000","318.65"
"100071","3041","555","Gulshan","Mirpur","Premium","Dhaka","bike","4.7","cash","29.16","73.15","cancelled","5.11","102.31","2024-01-03 23:10:00","2024-01-03 23:59:00","49.0000000000000000","0"
"100072","3824","457","Mirpur","Gulshan","Premium","Dhaka","car","4.5","wallet","24.20","169.48","completed","6.82","193.68","2024-01-04 00:09:00","2024-01-04 00:22:00","13.0000000000000000","169.48"
"100073","4417","788","Mirpur","Uttara","Regular","Dhaka","car","3.7","card","16.68","330.22","completed","12.02","346.90","2024-01-04 01:11:00","2024-01-04 01:41:00","30.0000000000000000","330.22"
"100074","3612","723","Banani","Uttara","Regular","Dhaka","car","4.4","card","4.74","294.04","cancelled","8.64","298.78","2024-01-04 02:18:00","2024-01-04 02:26:00","8.0000000000000000","0"
"100075","3945","494","Mirpur","Banani","Regular","Dhaka","car","4.6","cash","27.97","192.19","cancelled","8.66","220.16","2024-01-04 03:03:00","2024-01-04 03:24:00","21.0000000000000000","0"
"100076","2363","423","Uttara","Gulshan","Regular","Dhaka","car","4.5","card","5.64","39.71","completed","1.75","45.35","2024-01-04 04:00:00","2024-01-04 04:27:00","27.0000000000000000","39.71"
"100077","3139","724","Gulshan","Uttara","Premium","Dhaka","bike","4.1","card","7.81","143.71","completed","6.58","151.52","2024-01-04 05:00:00","2024-01-04 05:25:00","25.0000000000000000","143.71"
"100078","2390","245","Dhanmondi","Mirpur","Regular","Dhaka","bike","4.1","card","49.11","51.76","completed","4.79","100.87","2024-01-04 06:10:00","2024-01-04 06:49:00","39.0000000000000000","51.76"
"100079","4003","312","Dhanmondi","Mirpur","Regular","Dhaka","car","4.8","cash","15.84","457.73","completed","14.99","473.57","2024-01-04 07:06:00","2024-01-04 08:02:00","56.0000000000000000","457.73"
"100080","2478","432","Banani","Dhanmondi","Premium","Dhaka","car","4.6","cash","29.22","97.10","cancelled","5.32","126.32","2024-01-04 08:19:00","2024-01-04 08:28:00","9.0000000000000000","0"
"100081","4499","216","Dhanmondi","Dhanmondi","Regular","Dhaka","bike","4.8","wallet","13.61","376.20","completed","13.38","389.81","2024-01-04 09:21:00","2024-01-04 10:20:00","59.0000000000000000","376.20"
"100082","3556","559","Dhanmondi","Mirpur","Premium","Dhaka","bike","3.6","card","43.28","274.13","completed","10.47","317.41","2024-01-04 10:10:00","2024-01-04 10:19:00","9.0000000000000000","274.13"
"100083","1775","422","Gulshan","Mirpur","Regular","Dhaka","car","3.8","cash","14.17","142.02","completed","5.77","156.19","2024-01-04 11:18:00","2024-01-04 11:42:00","24.0000000000000000","142.02"
"100084","1034","647","Gulshan","Dhanmondi","Regular","Dhaka","bike","3.9","cash","18.34","267.04","completed","8.61","285.38","2024-01-04 12:18:00","2024-01-04 12:37:00","19.0000000000000000","267.04"
"100085","3253","564","Uttara","Uttara","Premium","Dhaka","bike","4.3","cash","30.42","309.99","completed","12.77","340.41","2024-01-04 13:13:00","2024-01-04 13:35:00","22.0000000000000000","309.99"
"100086","4152","525","Banani","Banani","Regular","Dhaka","bike","4.7","wallet","43.50","281.04","completed","13.37","324.54","2024-01-04 14:08:00","2024-01-04 14:59:00","51.0000000000000000","281.04"
"100087","2955","666","Dhanmondi","Dhanmondi","Premium","Dhaka","bike","4.8","wallet","40.81","67.87","completed","3.25","108.68","2024-01-04 15:04:00","2024-01-04 15:10:00","6.0000000000000000","67.87"
"100088","2585","613","Uttara","Uttara","Premium","Dhaka","bike","3.6","wallet","13.19","176.12","cancelled","5.75","189.31","2024-01-04 16:11:00","2024-01-04 16:44:00","33.0000000000000000","0"
"100089","4943","654","Banani","Uttara","Premium","Dhaka","bike","4.3","wallet","41.48","86.32","completed","5.69","127.80","2024-01-04 17:03:00","2024-01-04 17:20:00","17.0000000000000000","86.32"
"100090","4459","785","Dhanmondi","Uttara","Regular","Dhaka","car","4.7","wallet","35.06","-2.64","completed","1.59","32.42","2024-01-04 18:04:00","2024-01-04 18:12:00","8.0000000000000000","-2.64"
"100091","4073","432","Dhanmondi","Gulshan","Regular","Dhaka","car","4.6","card","49.49","150.77","completed","9.38","200.26","2024-01-04 19:00:00","2024-01-04 20:03:00","63.0000000000000000","150.77"
"100092","2021","423","Gulshan","Gulshan","Regular","Dhaka","car","4.5","card","46.77","268.38","completed","12.97","315.15","2024-01-04 20:00:00","2024-01-04 20:52:00","52.0000000000000000","268.38"
"100093","4461","611","Mirpur","Uttara","Regular","Dhaka","bike","4.9","cash","26.66","192.60","completed","6.34","219.26","2024-01-04 21:11:00","2024-01-04 21:25:00","14.0000000000000000","192.60"
"100094","3613","771","Banani","Mirpur","Regular","Dhaka","car","4.9","wallet","37.50","284.87","cancelled","11.36","322.37","2024-01-04 22:07:00","2024-01-04 22:42:00","35.0000000000000000","0"
"100095","2129","534","Dhanmondi","Gulshan","Regular","Dhaka","bike","3.8","wallet","28.51","222.10","completed","9.79","250.61","2024-01-04 23:23:00","2024-01-05 00:08:00","45.0000000000000000","222.10"
"100096","4843","421","Banani","Dhanmondi","Premium","Dhaka","bike","4.1","cash","29.75","178.90","cancelled","6.26","208.65","2024-01-05 00:00:00","2024-01-05 00:24:00","24.0000000000000000","0"
"100097","4893","236","Uttara","Gulshan","Regular","Dhaka","bike","4.8","card","5.08","74.51","completed","2.97","79.59","2024-01-05 01:24:00","2024-01-05 01:31:00","7.0000000000000000","74.51"
"100098","2500","477","Uttara","Mirpur","Regular","Dhaka","car","4.8","wallet","0.11","270.17","completed","10.93","270.28","2024-01-05 02:08:00","2024-01-05 03:00:00","52.0000000000000000","270.17"
"100099","1702","395","Mirpur","Banani","Regular","Dhaka","car","3.9","wallet","2.41","439.76","cancelled","12.96","442.17","2024-01-05 03:16:00","2024-01-05 04:06:00","50.0000000000000000","0"
"100100","3449","683","Dhanmondi","Gulshan","Regular","Dhaka","bike","4.3","wallet","48.33","298.74","completed","10.60","347.07","2024-01-05 04:07:00","2024-01-05 04:20:00","13.0000000000000000","298.74"
"100101","3777","441","Gulshan","Uttara","Premium","Dhaka","bike","3.6","card","6.31","34.51","completed","1.25","40.82","2024-01-05 05:21:00","2024-01-05 05:55:00","34.0000000000000000","34.51"
"100102","2579","523","Dhanmondi","Uttara","Regular","Dhaka","bike","4.6","card","2.22","109.35","completed","4.03","111.57","2024-01-05 06:10:00","2024-01-05 07:07:00","57.0000000000000000","109.35"
"100103","1161","391","Banani","Uttara","Regular","Dhaka","car","4.3","wallet","15.48","47.25","completed","1.97","62.73","2024-01-05 07:23:00","2024-01-05 07:38:00","15.0000000000000000","47.25"
"100104","1201","216","Uttara","Banani","Regular","Dhaka","bike","4.8","wallet","29.41","174.58","cancelled","8.99","203.99","2024-01-05 08:21:00","2024-01-05 09:00:00","39.0000000000000000","0"
"100105","2981","723","Banani","Mirpur","Regular","Dhaka","car","4.4","cash","47.42","284.03","cancelled","11.59","331.45","2024-01-05 09:13:00","2024-01-05 09:54:00","41.0000000000000000","0"
"100106","1995","600","Mirpur","Dhanmondi","Premium","Dhaka","bike","4.8","cash","34.99","53.64","completed","2.55","88.63","2024-01-05 10:20:00","2024-01-05 11:06:00","46.0000000000000000","53.64"
"100107","3317","221","Uttara","Mirpur","Regular","Dhaka","car","4.1","card","13.82","296.58","completed","12.74","310.40","2024-01-05 11:21:00","2024-01-05 11:38:00","17.0000000000000000","296.58"
"100108","4934","673","Gulshan","Banani","Regular","Dhaka","car","4.8","cash","46.95","233.27","completed","8.78","280.22","2024-01-05 12:04:00","2024-01-05 12:44:00","40.0000000000000000","233.27"
"100109","1815","319","Uttara","Uttara","Regular","Dhaka","car","4.6","wallet","1.80","289.83","completed","10.66","291.63","2024-01-05 13:16:00","2024-01-05 13:33:00","17.0000000000000000","289.83"
"100110","4342","409","Dhanmondi","Mirpur","Regular","Dhaka","bike","3.6","card","48.95","251.77","completed","14.60","300.72","2024-01-05 14:03:00","2024-01-05 14:19:00","16.0000000000000000","251.77"
"100111","1455","505","Dhanmondi","Dhanmondi","Regular","Dhaka","bike","4.3","cash","2.93","65.31","cancelled","2.17","68.24","2024-01-05 15:22:00","2024-01-05 16:03:00","41.0000000000000000","0"
"100112","4533","469","Uttara","Uttara","Premium","Dhaka","bike","3.8","card","37.69","269.15","completed","13.62","306.84","2024-01-05 16:03:00","2024-01-05 16:17:00","14.0000000000000000","269.15"
"100113","4798","484","Mirpur","Dhanmondi","Premium","Dhaka","car","4.6","wallet","2.26","79.38","completed","2.77","81.64","2024-01-05 17:23:00","2024-01-05 17:36:00","13.0000000000000000","79.38"
"100114","2275","426","Dhanmondi","Gulshan","Regular","Dhaka","car","4.6","cash","46.58","91.77","completed","6.50","138.35","2024-01-05 18:04:00","2024-01-05 19:00:00","56.0000000000000000","91.77"
"100115","2016","580","Dhanmondi","Dhanmondi","Premium","Dhaka","bike","4.2","cash","5.43","436.47","completed","12.92","441.90","2024-01-05 19:07:00","2024-01-05 19:18:00","11.0000000000000000","436.47"
"100116","4773","659","Gulshan","Uttara","Regular","Dhaka","car","4.0","cash","2.52","331.19","completed","13.69","333.71","2024-01-05 20:16:00","2024-01-05 20:22:00","6.0000000000000000","331.19"
"100117","3343","206","Uttara","Gulshan","Regular","Dhaka","bike","4.2","wallet","44.46","144.82","completed","8.09","189.28","2024-01-05 21:11:00","2024-01-05 22:09:00","58.0000000000000000","144.82"
"100118","4796","228","Dhanmondi","Uttara","Regular","Dhaka","car","4.3","card","4.79","199.66","completed","9.32","204.45","2024-01-05 22:10:00","2024-01-05 22:37:00","27.0000000000000000","199.66"
"100119","3767","232","Mirpur","Uttara","Regular","Dhaka","bike","4.7","cash","39.90","333.11","cancelled","10.91","373.01","2024-01-05 23:02:00","2024-01-05 23:45:00","43.0000000000000000","0"
"100120","4820","278","Banani","Gulshan","Regular","Dhaka","car","3.7","card","37.35","351.04","completed","12.66","388.39","2024-01-06 00:17:00","2024-01-06 01:01:00","44.0000000000000000","351.04"
"100121","1337","658","Uttara","Dhanmondi","Premium","Dhaka","car","4.5","card","29.94","54.10","completed","2.70","84.04","2024-01-06 01:07:00","2024-01-06 01:50:00","43.0000000000000000","54.10"
"100122","1878","769","Gulshan","Banani","Regular","Dhaka","car","4.2","card","18.90","320.34","completed","12.34","339.24","2024-01-06 02:10:00","2024-01-06 02:35:00","25.0000000000000000","320.34"
"100123","2076","737","Dhanmondi","Banani","Regular","Dhaka","car","4.1","wallet","45.78","164.14","completed","7.74","209.92","2024-01-06 03:05:00","2024-01-06 03:32:00","27.0000000000000000","164.14"
"100124","1791","681","Mirpur","Banani","Regular","Dhaka","car","4.1","wallet","43.55","114.71","cancelled","7.31","158.26","2024-01-06 04:03:00","2024-01-06 04:36:00","33.0000000000000000","0"
"100125","4993","629","Uttara","Banani","Regular","Dhaka","car","4.1","cash","21.31","175.49","cancelled","6.93","196.80","2024-01-06 05:05:00","2024-01-06 05:23:00","18.0000000000000000","0"
"100126","3264","484","Mirpur","Mirpur","Regular","Dhaka","car","4.6","cash","11.59","181.12","completed","8.13","192.71","2024-01-06 06:02:00","2024-01-06 06:32:00","30.0000000000000000","181.12"
"100127","1763","715","Mirpur","Banani","Regular","Dhaka","bike","4.6","card","13.63","479.54","completed","14.23","493.17","2024-01-06 07:20:00","2024-01-06 08:15:00","55.0000000000000000","479.54"
"100128","3235","298","Gulshan","Gulshan","Regular","Dhaka","bike","4.1","card","11.02","265.98","completed","8.67","277.00","2024-01-06 08:11:00","2024-01-06 08:20:00","9.0000000000000000","265.98"
"100129","1379","596","Uttara","Banani","Premium","Dhaka","car","4.6","card","27.06","348.57","completed","14.34","375.63","2024-01-06 09:22:00","2024-01-06 10:21:00","59.0000000000000000","348.57"
"100130","1492","688","Dhanmondi","Uttara","Regular","Dhaka","bike","4.9","wallet","43.43","34.96","completed","3.52","78.39","2024-01-06 10:16:00","2024-01-06 10:51:00","35.0000000000000000","34.96"
"100131","4112","238","Gulshan","Banani","Regular","Dhaka","car","4.1","wallet","38.68","315.35","completed","11.14","354.03","2024-01-06 11:23:00","2024-01-06 11:52:00","29.0000000000000000","315.35"
"100132","2180","470","Dhanmondi","Dhanmondi","Regular","Dhaka","car","3.6","cash","39.78","230.27","completed","12.37","270.05","2024-01-06 12:20:00","2024-01-06 12:55:00","35.0000000000000000","230.27"
"100133","3062","356","Banani","Gulshan","Regular","Dhaka","car","4.2","card","22.41","217.64","cancelled","10.51","240.05","2024-01-06 13:17:00","2024-01-06 14:11:00","54.0000000000000000","0"
"100134","4884","274","Mirpur","Gulshan","Regular","Dhaka","car","3.8","card","16.12","204.02","completed","9.50","220.14","2024-01-06 14:22:00","2024-01-06 14:46:00","24.0000000000000000","204.02"
"100135","1064","329","Banani","Mirpur","Regular","Dhaka","bike","4.6","wallet","37.87","214.76","completed","8.91","252.63","2024-01-06 15:23:00","2024-01-06 16:11:00","48.0000000000000000","214.76"
"100136","4928","283","Mirpur","Uttara","Regular","Dhaka","car","4.2","cash","39.66","375.41","completed","13.05","415.07","2024-01-06 16:05:00","2024-01-06 17:04:00","59.0000000000000000","375.41"
"100137","4910","221","Gulshan","Gulshan","Premium","Dhaka","car","4.1","card","34.77","274.16","completed","12.50","308.93","2024-01-06 17:03:00","2024-01-06 17:24:00","21.0000000000000000","274.16"
